date,close,open,high,low,交易量,涨跌幅
2020/2/1,9.56E-03,9.23E-03,9.82E-03,9.19E-03,26.04M,3.56%
2020/2/2,9.28E-03,9.56E-03,9.59E-03,8.95E-03,30.40M,-2.95%
2020/2/3,9.50E-03,9.28E-03,9.58E-03,9.11E-03,21.78M,2.36%
2020/2/4,1.01E-02,9.50E-03,1.02E-02,9.27E-03,35.54M,5.89%
2020/2/5,9.93E-03,1.01E-02,1.02E-02,9.49E-03,34.78M,-1.26%
2020/2/6,1.06E-02,9.93E-03,1.07E-02,9.90E-03,28.34M,6.81%
2020/2/7,1.14E-02,1.06E-02,1.15E-02,1.04E-02,34.42M,7.40%
2020/2/8,1.06E-02,1.14E-02,1.14E-02,1.03E-02,27.47M,-7.13%
2020/2/9,1.10E-02,1.06E-02,1.11E-02,1.06E-02,25.68M,3.97%
2020/2/10,1.07E-02,1.10E-02,1.11E-02,9.97E-03,31.93M,-2.31%
2020/2/11,1.14E-02,1.07E-02,1.14E-02,1.04E-02,28.32M,5.81%
2020/2/12,1.20E-02,1.14E-02,1.28E-02,1.13E-02,35.83M,5.80%
2020/2/13,1.19E-02,1.20E-02,1.22E-02,1.11E-02,36.61M,-0.96%
2020/2/14,1.29E-02,1.19E-02,1.29E-02,1.18E-02,27.76M,8.29%
2020/2/15,1.16E-02,1.29E-02,1.29E-02,1.11E-02,29.88M,-10.17%
2020/2/16,1.07E-02,1.16E-02,1.18E-02,9.88E-03,33.52M,-7.62%
2020/2/17,1.04E-02,1.07E-02,1.07E-02,9.81E-03,30.29M,-3.04%
2020/2/18,1.06E-02,1.04E-02,1.07E-02,1.01E-02,27.61M,2.60%
2020/2/19,9.82E-03,1.06E-02,1.09E-02,9.51E-03,20.14M,-7.81%
2020/2/20,9.30E-03,9.82E-03,9.82E-03,8.85E-03,26.96M,-5.24%
2020/2/21,9.41E-03,9.30E-03,9.71E-03,9.28E-03,24.88M,1.09%
2020/2/22,9.28E-03,9.41E-03,9.41E-03,9.08E-03,23.79M,-1.36%
2020/2/23,9.58E-03,9.28E-03,9.58E-03,9.12E-03,43.24M,3.21%
2020/2/24,8.98E-03,9.58E-03,9.58E-03,8.79E-03,49.03M,-6.23%
2020/2/25,7.93E-03,8.98E-03,8.98E-03,7.76E-03,52.04M,-11.73%
2020/2/26,7.05E-03,7.93E-03,7.93E-03,6.64E-03,103.77M,-11.03%
2020/2/27,7.01E-03,7.05E-03,7.64E-03,6.69E-03,77.61M,-0.63%
2020/2/28,7.05E-03,7.01E-03,7.18E-03,6.57E-03,66.33M,0.54%
2020/2/29,6.62E-03,7.05E-03,7.10E-03,6.58E-03,40.26M,-6.02%
2020/3/1,6.40E-03,6.62E-03,6.71E-03,6.20E-03,36.93M,-3.34%
2020/3/2,6.79E-03,6.40E-03,6.80E-03,6.26E-03,70.99M,6.10%
2020/3/3,6.66E-03,6.79E-03,7.21E-03,6.59E-03,91.54M,-1.85%
2020/3/4,6.87E-03,6.66E-03,7.06E-03,6.65E-03,57.77M,3.05%
2020/3/5,7.70E-03,6.87E-03,8.23E-03,6.87E-03,93.31M,12.05%
2020/3/6,7.71E-03,7.70E-03,7.87E-03,7.37E-03,79.07M,0.17%
2020/3/7,7.78E-03,7.71E-03,8.53E-03,7.47E-03,148.75M,0.89%
2020/3/8,6.35E-03,7.78E-03,7.78E-03,6.30E-03,102.06M,-18.42%
2020/3/9,6.11E-03,6.35E-03,6.56E-03,5.69E-03,134.91M,-3.76%
2020/3/10,6.25E-03,6.11E-03,6.49E-03,5.90E-03,76.23M,2.29%
2020/3/11,5.86E-03,6.25E-03,6.45E-03,5.39E-03,79.90M,-6.21%
2020/3/12,2.55E-03,5.86E-03,5.87E-03,2.45E-03,251.24M,-56.46%
2020/3/13,2.87E-03,2.55E-03,3.14E-03,1.70E-03,283.10M,12.52%
2020/3/14,2.59E-03,2.87E-03,3.03E-03,2.58E-03,100.85M,-9.72%
2020/3/15,2.76E-03,2.59E-03,2.86E-03,2.58E-03,67.92M,6.55%
2020/3/16,2.29E-03,2.76E-03,2.76E-03,1.96E-03,173.68M,-17.12%
2020/3/17,2.38E-03,2.29E-03,2.50E-03,2.27E-03,119.50M,3.88%
2020/3/18,2.30E-03,2.38E-03,2.38E-03,2.15E-03,79.61M,-3.26%
2020/3/19,2.96E-03,2.30E-03,3.10E-03,2.30E-03,236.63M,28.50%
2020/3/20,2.81E-03,2.96E-03,3.38E-03,2.55E-03,201.11M,-4.99%
2020/3/21,2.71E-03,2.81E-03,2.91E-03,2.57E-03,90.78M,-3.49%
2020/3/22,2.50E-03,2.71E-03,2.88E-03,2.50E-03,67.86M,-7.79%
2020/3/23,2.74E-03,2.50E-03,2.78E-03,2.40E-03,99.82M,9.60%
2020/3/24,2.86E-03,2.74E-03,2.92E-03,2.69E-03,104.64M,4.54%
2020/3/25,3.08E-03,2.86E-03,3.15E-03,2.65E-03,151.08M,7.54%
2020/3/26,3.13E-03,3.08E-03,3.13E-03,2.97E-03,88.72M,1.63%
2020/3/27,2.99E-03,3.13E-03,3.26E-03,2.93E-03,86.47M,-4.47%
2020/3/28,2.98E-03,2.99E-03,3.02E-03,2.70E-03,50.67M,-0.31%
2020/3/29,2.73E-03,2.98E-03,2.99E-03,2.68E-03,39.36M,-8.28%
2020/3/30,2.97E-03,2.73E-03,3.02E-03,2.67E-03,69.75M,8.65%
2020/3/31,3.04E-03,2.97E-03,3.38E-03,2.92E-03,188.69M,2.32%
2020/4/1,3.10E-03,3.04E-03,3.10E-03,2.90E-03,127.74M,1.88%
2020/4/2,3.12E-03,3.10E-03,3.29E-03,3.03E-03,78.91M,0.78%
2020/4/3,3.16E-03,3.12E-03,3.22E-03,3.03E-03,83.90M,1.40%
2020/4/4,3.23E-03,3.16E-03,3.25E-03,3.13E-03,108.24M,2.19%
2020/4/5,3.15E-03,3.23E-03,3.27E-03,3.08E-03,99.95M,-2.45%
2020/4/6,3.38E-03,3.15E-03,3.38E-03,3.14E-03,100.75M,7.13%
2020/4/7,3.39E-03,3.38E-03,3.60E-03,3.29E-03,105.08M,0.39%
2020/4/8,3.46E-03,3.39E-03,3.56E-03,3.34E-03,67.43M,2.07%
2020/4/9,3.83E-03,3.46E-03,3.87E-03,3.39E-03,119.03M,10.58%
2020/4/10,3.23E-03,3.83E-03,3.83E-03,3.11E-03,118.57M,-15.64%
2020/4/11,3.28E-03,3.23E-03,3.40E-03,3.15E-03,136.23M,1.54%
2020/4/12,3.35E-03,3.28E-03,3.56E-03,3.18E-03,115.27M,2.18%
2020/4/13,3.24E-03,3.35E-03,3.35E-03,3.08E-03,92.74M,-3.41%
2020/4/14,3.22E-03,3.24E-03,3.30E-03,3.17E-03,105.89M,-0.41%
2020/4/15,2.94E-03,3.22E-03,3.25E-03,2.92E-03,102.47M,-8.81%
2020/4/16,3.14E-03,2.94E-03,3.17E-03,2.86E-03,114.40M,6.95%
2020/4/17,3.10E-03,3.14E-03,3.23E-03,3.09E-03,80.48M,-1.50%
2020/4/18,3.28E-03,3.10E-03,3.28E-03,3.10E-03,92.38M,5.87%
2020/4/19,3.24E-03,3.28E-03,3.30E-03,3.18E-03,108.41M,-1.26%
2020/4/20,2.98E-03,3.24E-03,3.29E-03,2.91E-03,106.38M,-7.89%
2020/4/21,2.95E-03,2.98E-03,3.05E-03,2.95E-03,52.56M,-0.97%
2020/4/22,3.16E-03,2.95E-03,3.16E-03,2.95E-03,80.71M,6.90%
2020/4/23,3.14E-03,3.16E-03,3.22E-03,3.06E-03,76.05M,-0.44%
2020/4/24,3.38E-03,3.14E-03,3.45E-03,3.14E-03,69.79M,7.57%
2020/4/25,3.72E-03,3.38E-03,3.72E-03,3.32E-03,70.45M,9.90%
2020/4/26,4.18E-03,3.72E-03,4.33E-03,3.71E-03,71.53M,12.41%
2020/4/27,4.42E-03,4.18E-03,4.85E-03,4.03E-03,93.65M,5.77%
2020/4/28,4.46E-03,4.42E-03,4.57E-03,4.14E-03,61.85M,0.91%
2020/4/29,4.85E-03,4.46E-03,5.00E-03,4.29E-03,82.46M,8.74%
2020/4/30,4.57E-03,4.85E-03,5.21E-03,4.40E-03,86.66M,-5.72%
2020/5/1,4.90E-03,4.57E-03,5.09E-03,4.57E-03,63.60M,7.12%
2020/5/2,4.93E-03,4.90E-03,4.97E-03,4.75E-03,52.41M,0.63%
2020/5/3,4.59E-03,4.93E-03,4.98E-03,4.47E-03,49.68M,-6.87%
2020/5/4,4.36E-03,4.59E-03,4.60E-03,4.12E-03,58.59M,-5.02%
2020/5/5,4.31E-03,4.36E-03,4.44E-03,4.26E-03,48.48M,-1.12%
2020/5/6,3.93E-03,4.31E-03,4.34E-03,3.92E-03,59.58M,-8.84%
2020/5/7,4.02E-03,3.93E-03,4.06E-03,3.73E-03,54.97M,2.43%
2020/5/8,4.03E-03,4.02E-03,4.10E-03,3.90E-03,52.08M,0.18%
2020/5/9,3.93E-03,4.03E-03,4.10E-03,3.92E-03,50.85M,-2.53%
2020/5/10,3.58E-03,3.93E-03,3.93E-03,3.17E-03,56.63M,-8.93%
2020/5/11,3.95E-03,3.58E-03,4.08E-03,3.52E-03,74.74M,10.37%
2020/5/12,3.89E-03,3.95E-03,4.04E-03,3.84E-03,51.99M,-1.55%
