date,close,open,high,low,交易量,涨跌幅
2018/11/19,5.19E-03,6.51E-03,6.51E-03,5.05E-03,-,-20.34%
2018/11/20,4.36E-03,5.19E-03,5.30E-03,3.90E-03,-,-15.92%
2018/11/21,4.44E-03,4.37E-03,4.98E-03,4.21E-03,-,1.80%
2018/11/22,4.17E-03,4.43E-03,4.89E-03,4.17E-03,-,-5.97%
2018/11/23,4.20E-03,4.15E-03,4.26E-03,4.04E-03,-,0.70%
2018/11/24,3.73E-03,4.20E-03,4.29E-03,3.64E-03,-,-11.13%
2018/11/25,3.49E-03,3.73E-03,3.77E-03,3.11E-03,-,-6.56%
2018/11/26,3.47E-03,3.48E-03,3.98E-03,3.16E-03,-,-0.52%
2018/11/27,3.50E-03,3.47E-03,3.70E-03,3.18E-03,-,0.72%
2018/11/28,4.52E-03,3.50E-03,4.75E-03,3.50E-03,-,29.33%
2018/11/29,4.53E-03,4.52E-03,4.69E-03,4.39E-03,-,0.13%
2018/11/30,3.84E-03,4.54E-03,4.56E-03,3.77E-03,-,-15.26%
2018/12/1,4.46E-03,3.84E-03,4.56E-03,3.80E-03,-,16.13%
2018/12/2,3.95E-03,4.46E-03,4.57E-03,3.92E-03,-,-11.30%
2018/12/3,3.71E-03,3.96E-03,4.29E-03,3.65E-03,-,-6.16%
2018/12/4,3.78E-03,3.70E-03,3.93E-03,3.62E-03,-,2.02%
2018/12/5,3.58E-03,3.79E-03,4.16E-03,3.56E-03,-,-5.41%
2018/12/6,3.36E-03,3.58E-03,3.72E-03,3.34E-03,-,-6.02%
2018/12/7,2.94E-03,3.35E-03,3.37E-03,2.79E-03,-,-12.58%
2018/12/8,2.98E-03,2.94E-03,3.11E-03,2.82E-03,-,1.36%
2018/12/9,3.10E-03,2.98E-03,3.21E-03,2.95E-03,-,3.99%
2018/12/10,3.00E-03,3.10E-03,3.15E-03,2.95E-03,-,-3.32%
2018/12/11,2.58E-03,3.00E-03,3.02E-03,2.55E-03,-,-13.92%
2018/12/12,2.83E-03,2.57E-03,3.03E-03,2.56E-03,-,9.72%
2018/12/13,2.51E-03,2.83E-03,2.98E-03,2.34E-03,-,-11.17%
2018/12/14,2.46E-03,2.52E-03,2.54E-03,2.42E-03,-,-2.09%
2018/12/15,2.47E-03,2.46E-03,2.49E-03,2.41E-03,-,0.18%
2018/12/16,2.81E-03,2.46E-03,3.21E-03,2.46E-03,-,13.78%
2018/12/17,3.08E-03,2.81E-03,3.15E-03,2.79E-03,-,9.86%
2018/12/18,3.21E-03,3.08E-03,3.28E-03,3.02E-03,-,4.25%
2018/12/19,3.24E-03,3.22E-03,3.43E-03,3.20E-03,-,0.81%
2018/12/20,3.37E-03,3.23E-03,3.58E-03,3.02E-03,-,4.11%
2018/12/21,2.98E-03,3.37E-03,3.57E-03,2.93E-03,-,-11.65%
2018/12/22,3.51E-03,2.98E-03,3.52E-03,2.98E-03,-,17.72%
2018/12/23,3.46E-03,3.52E-03,3.58E-03,3.43E-03,-,-1.33%
2018/12/24,3.52E-03,3.46E-03,3.73E-03,3.46E-03,-,1.82%
2018/12/25,2.93E-03,3.52E-03,3.53E-03,2.87E-03,-,-16.87%
2018/12/26,2.95E-03,2.93E-03,2.99E-03,2.86E-03,-,0.63%
2018/12/27,2.79E-03,2.95E-03,2.97E-03,2.77E-03,-,-5.50%
2018/12/28,3.03E-03,2.79E-03,3.06E-03,2.77E-03,-,8.69%
2018/12/29,2.91E-03,3.03E-03,3.07E-03,2.90E-03,-,-3.81%
2018/12/30,2.98E-03,2.92E-03,2.99E-03,2.88E-03,-,2.32%
2018/12/31,2.87E-03,2.98E-03,2.99E-03,2.84E-03,-,-3.58%
2019/1/1,2.97E-03,2.88E-03,2.99E-03,2.84E-03,-,3.33%
2019/1/2,3.04E-03,2.98E-03,3.05E-03,2.94E-03,-,2.32%
2019/1/3,2.94E-03,3.04E-03,3.04E-03,2.93E-03,-,-3.20%
2019/1/4,2.97E-03,2.94E-03,2.99E-03,2.90E-03,-,0.93%
2019/1/5,2.93E-03,2.97E-03,3.01E-03,2.93E-03,-,-1.14%
2019/1/6,3.13E-03,2.93E-03,5.87E-03,2.92E-03,-,6.66%
2019/1/7,3.09E-03,3.13E-03,3.53E-03,3.06E-03,-,-1.41%
2019/1/8,3.28E-03,3.09E-03,3.51E-03,3.04E-03,-,6.30%
