date,close,open,high,low,交易量,涨跌幅
2020/6/18,2.46E-03,2.48E-03,2.49E-03,2.43E-03,59.13M,-0.73%
2020/6/19,2.44E-03,2.46E-03,2.46E-03,2.43E-03,84.69M,-0.92%
2020/6/20,2.44E-03,2.44E-03,2.45E-03,2.40E-03,59.29M,0.09%
2020/6/21,2.43E-03,2.44E-03,2.47E-03,2.43E-03,84.56M,-0.51%
2020/6/22,2.47E-03,2.43E-03,2.50E-03,2.43E-03,118.33M,1.79%
2020/6/23,2.47E-03,2.47E-03,2.49E-03,2.46E-03,96.69M,-0.18%
2020/6/24,2.42E-03,2.47E-03,2.49E-03,2.38E-03,125.00M,-2.00%
2020/6/25,2.41E-03,2.42E-03,2.43E-03,2.38E-03,73.50M,-0.46%
2020/6/26,2.36E-03,2.41E-03,2.42E-03,2.35E-03,69.71M,-2.03%
2020/6/27,2.30E-03,2.36E-03,2.36E-03,2.27E-03,94.90M,-2.32%
2020/6/28,2.31E-03,2.30E-03,2.34E-03,2.28E-03,116.78M,0.41%
2020/6/29,2.31E-03,2.31E-03,2.33E-03,2.29E-03,84.75M,-0.26%
2020/6/30,2.32E-03,2.31E-03,2.33E-03,2.28E-03,59.02M,0.45%
2020/7/1,2.32E-03,2.32E-03,2.35E-03,2.30E-03,120.68M,0.08%
2020/7/2,2.32E-03,2.32E-03,2.35E-03,2.28E-03,97.99M,0.07%
2020/7/3,2.31E-03,2.32E-03,2.33E-03,2.29E-03,76.60M,-0.35%
2020/7/4,2.30E-03,2.31E-03,2.33E-03,2.30E-03,60.37M,-0.55%
2020/7/5,2.30E-03,2.30E-03,2.32E-03,2.29E-03,88.81M,0.08%
2020/7/6,2.62E-03,2.30E-03,2.62E-03,2.30E-03,460.85M,13.53%
2020/7/7,3.11E-03,2.62E-03,3.11E-03,2.62E-03,3.96B,19.04%
2020/7/8,4.76E-03,3.14E-03,4.90E-03,3.14E-03,23.68B,52.82%
2020/7/9,4.32E-03,4.77E-03,4.77E-03,4.30E-03,8.65B,-9.17%
2020/7/10,3.52E-03,4.32E-03,4.32E-03,3.52E-03,7.53B,-18.47%
2020/7/11,3.81E-03,3.52E-03,3.81E-03,3.52E-03,3.66B,8.21%
2020/7/12,3.64E-03,3.81E-03,3.82E-03,3.61E-03,1.55B,-4.39%
2020/7/13,3.16E-03,3.64E-03,3.64E-03,3.15E-03,4.01B,-13.40%
2020/7/14,3.30E-03,3.16E-03,3.30E-03,3.12E-03,2.32B,4.55%
2020/7/15,3.09E-03,3.29E-03,3.29E-03,3.09E-03,1.39B,-6.34%
2020/7/16,2.98E-03,3.09E-03,3.09E-03,2.92E-03,2.07B,-3.55%
