date,close,open,high,low,交易量,涨跌幅
2020/1/1,1.32,1.22,1.36,1.21,19.29K,7.87%
2020/1/2,1.36,1.32,1.36,1.28,2.99K,3.09%
2020/1/3,1.3,1.36,1.36,1.3,2.19K,-4.13%
2020/1/4,1.41,1.3,1.41,1.3,65.24K,8.46%
2020/1/5,1.43,1.41,1.52,1.38,54.40K,1.13%
2020/1/6,1.41,1.43,1.47,1.15,10.20K,-1.27%
2020/1/7,1.49,1.41,1.52,1.18,12.86K,5.66%
2020/1/8,1.42,1.49,1.52,1.42,12.37K,-5.02%
2020/1/9,1.4,1.42,1.46,1.4,3.45K,-1.06%
2020/1/10,1.44,1.4,1.44,1.38,2.23K,2.76%
2020/1/11,1.43,1.44,1.44,1.41,29.71K,-0.77%
2020/1/12,1.41,1.43,1.44,1.41,28.79K,-0.97%
2020/1/13,1.41,1.41,1.42,1.39,0.18K,-0.52%
2020/1/14,1.47,1.41,1.47,1.4,5.95K,4.42%
2020/1/15,1.33,1.47,1.47,1.33,25.22K,-9.55%
2020/1/16,1.35,1.33,1.42,1.21,10.87K,1.48%
2020/1/17,1.38,1.35,1.4,1.21,19.62K,2.20%
2020/1/18,1.53,1.38,1.55,1.38,217.49K,11.13%
2020/1/19,1.48,1.53,1.55,1.46,10.11K,-3.51%
2020/1/20,1.5,1.48,1.55,1.48,16.78K,1.25%
2020/1/21,1.52,1.5,1.52,1.49,43.42K,1.32%
2020/1/22,1.87,1.52,1.89,1.5,101.09K,23.27%
2020/1/23,1.78,1.87,1.87,1.7,38.99K,-4.93%
2020/1/24,1.82,1.78,1.84,1.76,23.60K,2.27%
2020/1/25,1.75,1.81,1.84,1.75,10.31K,-3.66%
2020/1/26,1.86,1.75,1.89,1.75,6.87K,6.27%
2020/1/27,1.89,1.86,1.89,1.82,2.45K,1.53%
2020/1/28,2.02,1.89,2.02,1.89,70.32K,6.80%
2020/1/29,2.02,1.95,2.02,1.94,34.39K,0.00%
2020/1/30,2,2.02,2.09,1.95,217.84K,-0.99%
2020/1/31,1.93,2,2.19,1.89,108.66K,-3.73%
2020/2/1,2.01,1.93,2.01,1.93,126.54K,4.15%
2020/2/2,1.87,2.01,2.01,1.82,29.79K,-6.65%
2020/2/3,1.66,1.87,1.9,1.64,42.30K,-11.42%
2020/2/4,1.75,1.66,1.83,1.56,30.74K,5.84%
